lng,lat
-77.1333157,38.8960952
-77.109526,38.879446
-77.0871844,38.9392871
-77.1506881,38.8689155
-77.0702878,38.8947171
-77.1211338,38.8981779
-77.1192523,38.9500943
-77.0961428,38.9449596
-77.0646324,38.9102227
-77.17829449999999,38.932887
-77.09358499999999,38.8605859
-77.0848741,38.9590565
-77.1823211,38.9380881
-77.1172646,38.8491288
-77.18639209999999,38.8923369
-77.1066261,38.96369560000001
-77.20388249999999,38.9024769
-77.0582046,38.93625110000001
-77.04193819999999,38.9053571
-77.0849195,38.9625208
-77.0601179,38.8639404
-77.040381,38.89952
-77.0399522,38.902173
-77.03852479999999,38.9037384
-77.212276,38.9257487
-77.033287,38.902006
-77.0282675,38.897154
-77.0767568,38.9663478
-77.02518950000001,38.9021414
-77.0497192,38.8550463
-77.2258877,38.9175184
-77.0935135,38.9808356
-77.0920119,38.8298056
-77.0223723,38.8944693
-77.0187698,38.9034306
-77.2272485,38.92231049999999
-77.093595,38.9854212
-77.169619,38.870767
-77.0969313,38.9909768
-77.0115173,38.9007143
-77.1889159,38.8297662
-77.2301317,38.8664503
-77.0040154,38.8770883
-77.0008256,38.8868701
-77.1847098,38.7797446
-77.0763425,38.9943328
-77.26190199999999,38.904818
-77.064458,38.804034
-76.9642504,38.9358531
-77.2623614,38.8703504
-77.0263252,38.9932522
-77.02986279999999,38.9971571
-77.047769,38.8000264
-77.12731459999999,39.0252174
-77.1301155,38.7837822
-77.14787419999999,39.0269899
-77.2722943,38.8442577
-76.96759320000001,38.8585879
-77.20920389999999,39.0184222
-77.07471699999999,39.031229
-77.1859315,38.7818524
-77.00186479999999,38.9996868
-77.1569827,39.041066
-76.98858179999999,38.9884198
-77.3005261,38.8816527
-77.0822216,38.7699643
-77.1039959,39.0466173
-77.014313,39.0216274
-77.05095759999999,39.0399013
-76.950817,38.965015
-76.9830446,38.8041663
-77.11770500000002,39.048323
-77.1181744,39.05565290000001
-77.2364017,38.7790146
-77.31286,38.856599
-77.03144879999999,39.0411056
-77.287893,38.9972567
-77.08511179999999,39.0572185
-76.9424773,38.8402846
-77.1247908,39.0617521
-76.93776,38.9896967
-76.97688450000001,39.0213979
-77.0489393,39.0590308
-77.27404349999999,38.7788988
-76.9083224,38.9395921
-76.9914264,39.0420539
-77.2116939,38.7393933
-77.079345,39.0787953
-77.1856214,39.0808583
-77.1502326,39.0883223
-77.3544726,38.8582893
-77.3554856,38.960734
-76.8968,38.8529185
-77.35863119999999,38.9585119
-76.9087504,38.9977692
-77.1125617,39.0951431
-77.3730126,38.8722118
-76.9670436,39.0576262
-77.04678520000002,39.0905382
-77.0025975,39.07319930000001
-77.202846,39.0926471
-77.1935101,39.0976479
-77.0757311,39.1036913
-76.9917377,38.7255719
-76.912493,39.031856
-77.17137369999999,39.1138753
-77.3945092,38.9491429
-77.26236519999999,38.7140667
-77.4083935,38.9072869
-76.8780764,38.99350039999999
-77.3988895,38.96223519999999
-77.4052123,39.0334919
-77.2159336,39.1143906
-76.83723619999999,38.9023282
-77.1680586,39.1300315
-76.8797199,38.7511838
-77.25308299999999,39.118362
-77.2382506,39.123809
-77.4317798,38.8938701
-76.822688,38.955353
-77.43151,38.8357817
-77.40228479999999,39.0252633
-77.3977926,39.0347727
-77.0664773,39.1501836
-77.2177942,39.1428654
-76.9337911,39.11131779999999
-77.06269329999999,39.1516869
-77.4480674,38.9525892
-77.2106982,39.1518425
-77.4495518,38.85499859999999
-77.4376746,39.0077102
-77.4234606,39.0318656
-76.8694496,39.0778305
-77.42435329999999,39.024146
-77.27475760000002,39.1475345
-77.207241,39.170525
-77.2792611,39.1598496
-77.3344445,38.67350589999999
-77.48786199999999,38.9145961
-77.1890355,39.1858304
-77.3638861,38.6788052
-77.26800659999999,39.1803311
-76.8538429,39.0951371
-77.4498947,38.7492746
-77.2887605,38.6303597
-77.4811038,39.0228517
-77.4737347,39.0431277
-77.33334599999999,38.6468711
-76.7324934,38.9801487
-77.24533149999999,39.20431689999999
-76.80815799999999,39.0978281
-77.508186,39.0250957
-76.7186345,38.9374507
-76.91544999999999,38.6283485
-77.5103178,38.7792751
-77.53509500000001,38.9849085
-77.4932936,39.0797106
-76.9380482,39.2104587
-77.33379029999999,38.5960272
-77.3735276,38.6130818
-77.5284008,39.0985339
-76.67929459999999,39.0368696
-76.8454275,39.1764975
-76.9842596,38.5436566
-76.81743089999999,39.1958701
-77.5367043,38.723303
-76.795525,39.18686599999999
-77.2093297,39.2847255
-77.5554549,39.1101336
-77.6055921,38.7970196
-76.7210978,39.1528704
-76.8410894,39.24224359999999
-76.6582547,38.725262
-76.56784499999999,38.934975
-76.8302289,39.2767764
-77.6649726,38.7833112
-76.6530125,39.1507177
-76.77809040000001,39.2111345
-77.3523152,39.3283672
-77.1612463,39.3640536
-76.53863059999999,38.98320229999999
-76.60040409999999,39.1381741
-76.549261,39.080289
-77.4098561,38.4685384
-76.5199344,38.9688398
-77.6985539,39.1355978
-77.4232348,39.3801138
-77.4083556,39.3970189
-76.63750809999999,39.2842683
-77.7938736,38.7276336
-76.654697,39.3170829
-76.6125252,39.2895119
-76.7029996,39.3565224
-77.445082,39.417858
-94.6522169,37.0747888
-77.38318389999999,39.4490663
-76.5043889,39.2794111
-76.2704801,38.9738576
-77.51381800000001,38.3086187
-77.5673458,38.29193190000001
-76.9881046,39.5845506
-77.5046085,38.2211308
-77.969124,38.48377310000001
-76.5106685,38.2985423
-76.084896,38.7825011
-77.7019183,39.6332388
-77.700267,39.66396599999999
